container_id,measurement_time,product_id,temperature,target_temperature,ambiant_temperature,kilowatts,time_door_open,content_type,defrost_cycle,oxygen_level,nitrogen_level,humidity_level,carbon_dioxide_level,fan_1,fan_2,fan_3,latitude,longitude,maintenance_required
C01,2019-12-06 14:55:40,P02,5.142646499454468,6.0,19.910975541671085,2.940873663061237,0,2,3,23.163325997819996,77.83187451665621,58.831076500058785,4.268165039404557,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 15:00:40,P02,5.771875488157893,6.0,19.61549358115143,2.4790116924202885,0,2,6,22.415043611337904,76.67854132094028,63.05826179416185,3.5167534000992755,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 15:05:40,P02,5.502063011223675,6.0,21.221913695710136,1.6533463170816192,0,2,5,20.530965040140273,79.36423233472756,59.728702926257895,4.561905968513896,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 15:10:40,P02,5.684905797342028,6.0,19.754104666480785,2.4029709538777406,0,2,6,21.910285436963864,78.96458655356568,58.68536018270713,3.3277060582178786,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 15:15:40,P02,5.978415673041612,6.0,18.536257989138587,3.3035536082479213,0,2,6,18.241301346316085,78.55714232418843,59.65599599147813,3.2065671566942493,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 15:20:40,P02,5.584463293916734,6.0,20.613787869127957,2.0041767926258,0,2,4,19.93361542831849,78.4305329479105,60.559239279715726,3.614693556265931,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 15:25:40,P02,4.641846857433141,6.0,21.202469801461188,3.2516226668269486,0,2,5,19.66409078396071,79.10408133597915,60.523310594011235,4.394453237229602,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 15:30:40,P02,5.082488189535212,6.0,19.30696190578331,1.884704361794318,0,2,4,17.986299563955424,79.04262099361281,60.49934282355886,1.4813652185505952,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 15:35:40,P02,6.269048435458345,6.0,20.961970127490027,-0.5709611306755349,0,2,4,22.01101895127548,79.19917949906873,60.84726271043928,2.9226237804563304,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 15:40:40,P02,5.67353868211108,6.0,19.411746797641534,3.362126827294507,0,2,5,20.615544227340987,79.44313362735787,60.09325553320684,4.399926252997754,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 15:45:40,P02,4.979467561012994,6.0,18.48262117487244,3.837432549250817,0,2,5,20.886492887702516,79.76500010834435,60.52654789592935,3.006578668946951,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 15:50:40,P02,7.600795302357477,6.0,20.431552941677584,1.9563409456649348,0,2,5,21.232396822333428,77.85016802491681,59.98393656171491,5.598083258333879,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 15:55:40,P02,7.425940291440912,6.0,21.21300644585668,3.629054377572494,0,2,6,22.67088265841409,75.90875937491522,58.70498019014692,2.476096831901747,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 16:00:40,P02,6.815103391106399,6.0,20.57036242316855,3.6224388770549236,0,2,4,22.544829420475995,77.040976709543,59.740731099086155,1.502731320869593,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 16:05:40,P02,4.522235469639373,6.0,19.736706386389976,3.1030139626580406,0,2,4,21.2735257998293,77.89408853195579,60.406734276394594,3.792522794241226,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 16:10:40,P02,4.255937016128057,6.0,19.78619880399051,3.147791662068237,0,2,3,21.62262939378985,78.18916014761588,58.853345656221926,4.734292755179047,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 16:15:40,P02,5.977632601035619,6.0,19.568842755914268,2.2793272507463156,0,2,5,21.29003275641726,78.67187902677186,61.38056368650478,4.070786608358823,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 16:20:40,P02,4.24627622321381,6.0,21.030947610284063,3.987588685219173,0,2,6,19.59803986850877,78.04075686727008,61.73592524969617,4.136422792779908,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 16:25:40,P02,6.882226560485133,6.0,20.01038192511591,1.432254586306765,0,2,5,22.58248944613191,76.99472328961264,59.51596085958539,5.4881398611567445,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 16:30:40,P02,5.563078928017078,6.0,19.893912997509485,3.373544788488342,0,2,6,19.90351255135501,79.01286951172236,57.07064876020428,2.79485170469838,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 16:35:40,P02,5.75792545004568,6.0,19.35931480671655,1.0245723790172943,0,2,4,21.398173486697512,79.35504542243771,60.29069914027134,4.086943438100431,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 16:40:40,P02,4.605325652481539,6.0,19.828517874909643,1.8690172911182779,0,2,6,19.989159901377427,77.81992781419625,60.92876662271045,3.4839304130670254,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 16:45:40,P02,6.121178210931399,6.0,21.050503712266195,1.1564820275451428,0,2,4,21.379595682573665,79.14451979426596,60.312785389819965,2.2922665257101906,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 16:50:40,P02,7.578297885323106,6.0,18.636286262047292,4.952602342482986,0,2,6,19.181136427930635,77.17201995488952,58.840670806099666,5.476064474573439,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 16:55:40,P02,5.4890785113805185,6.0,20.41943517564724,2.520581613177475,0,2,5,19.63205832729358,77.82256336360781,59.76208320037688,4.924877868085814,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 17:00:40,P02,5.839390120708568,6.0,18.193170906179066,1.5263813295716389,0,2,3,20.587256535683306,77.99164424525657,58.06180848843625,3.8093218807098355,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 17:05:40,P02,7.214830365643388,6.0,19.03703680705731,0.6541269858961698,0,2,3,22.861248509620737,78.87073753015214,60.683874780743224,1.6429393484098669,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 17:10:40,P02,5.6363228277087645,6.0,19.113082339983954,3.5703470808770055,0,2,6,22.313814980070283,79.52580789490757,60.74185623313725,3.8904786516617076,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 17:15:40,P02,8.621080915049761,6.0,21.852005839409077,3.880871625686975,0,2,3,20.13338583644925,78.86751718012948,58.824385182918846,1.3655756209741425,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 17:20:40,P02,5.973864343988221,6.0,19.295728067765616,3.087404300319706,0,2,5,20.89977098857644,76.86225598778871,59.38381787817797,2.6385776536393637,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 17:25:40,P02,4.997876108086897,6.0,21.12791486100852,1.2448156188674255,0,2,3,21.89996895556701,79.88310137890541,60.377907400893314,4.931378073143493,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 17:30:40,P02,7.483599829921255,6.0,21.43905827825389,2.3459640729702462,0,2,4,20.710616464652865,78.21677345785224,60.30811022390603,5.684088810444658,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 17:35:40,P02,4.251520408696095,6.0,19.63387914419533,3.710283486827369,0,2,4,20.48144302076521,76.81364852719528,61.68922488252256,2.497186239818588,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 17:40:40,P02,6.384538154150817,6.0,19.446629063929528,0.753897800309471,0,2,6,23.09492183107238,78.91055745647205,59.20738156152024,3.8064465961975977,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 17:45:40,P02,6.478082094594532,6.0,22.721737705497116,4.090473764094568,0,2,5,20.916286603102037,77.62957371751168,57.71565344590437,3.754600089643082,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 17:50:40,P02,5.400084023752274,6.0,20.216981282577215,3.2264578317299244,0,2,6,19.621511406893273,77.0073798898166,60.511929458953,4.452065185232094,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 17:55:40,P02,5.480122034468802,6.0,20.446786832780692,2.007895230576254,0,2,4,20.74523615045825,77.45112727937973,60.4603043932846,3.5900547745608513,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 18:00:40,P02,6.562029682053877,6.0,19.03102901031942,2.736426741160144,0,2,5,20.232883269631976,78.0081901611244,59.69588310037292,3.4014591871635007,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 18:05:40,P02,4.734957817937119,6.0,19.019261143955532,1.139875980458101,0,2,6,20.71234127666241,77.5098794066156,60.41706318614161,4.902628926591275,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 18:10:40,P02,5.148902928309823,6.0,21.346570734134154,4.155758882387957,0,2,6,20.363914795245694,78.7189019531964,57.186700364389615,4.387583491318301,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 18:15:40,P02,5.542651801660959,6.0,18.5625912265584,1.8771247841219092,0,2,6,20.062394585188336,77.25405928176397,58.99244330554735,3.024912512907628,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 18:20:40,P02,5.07605414660378,6.0,20.089504609654156,2.7862127864322064,0,2,4,19.264510240613166,77.59473798006839,61.0708527051907,5.701241695841592,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 18:25:40,P02,6.718682212736232,6.0,20.620891872335786,3.279456133369897,0,2,5,19.07858468305666,77.25101520315566,59.7040540277541,3.0266394816252276,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 18:30:40,P02,7.404411077876107,6.0,19.64109991375919,2.2987707171143086,0,2,3,22.077339177839498,76.36884198021411,60.33035335804037,2.9165259940491026,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 18:35:40,P02,5.735828141285578,6.0,19.844588540064354,1.0844442845598972,0,2,4,22.040502726390606,78.4493690480526,60.201784621323725,2.5886590746627274,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 18:40:40,P02,8.189918519959303,6.0,18.912752581636056,3.04382951650979,0,2,3,20.956846509684087,78.48103634162277,60.45321854575483,5.85165716846968,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 18:45:40,P02,7.978701138074726,6.0,18.41929455929381,2.138582223882369,0,2,5,22.355494093465392,77.81623681722573,58.58082698959783,4.350905461310383,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 18:50:40,P02,5.930746074739116,6.0,18.17207298062212,3.3702256790783007,0,2,6,22.273849301901297,78.80466225418712,60.08909752574076,3.0578593300640042,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 18:55:40,P02,7.515735444343879,6.0,20.319015673465454,2.434595757486655,0,2,4,19.44595912535356,76.24515190226617,58.908011010191764,4.863862499830677,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 19:00:40,P02,6.420223225829498,6.0,20.682821458255386,2.1999664129604777,0,2,5,19.229500325444114,76.50126858970248,60.91114892562828,4.571638933268568,True,True,True,37.8226902168957,-122.324895,0
C01,2019-12-06 19:05:40,P02,6.379695908224481,6.0,20.231178456686354,3.0651959274829963,0,2,4,21.51894293826954,78.3149343779859,61.16451761186977,3.6179133228480778,True,True,True,37.8226902168957,-122.324895,0
